t cpg1 cpg2
0.016 0.0029511824569935508 0.1973826445769031
0.033 0.01549126957549495 0.19619864997427394
0.050 0.02805055690226071 0.19428571333947642
0.066 0.04057416421328584 0.19166243813070388
0.083 0.05300424983099447 0.1883480715167877
0.100 0.06528042322272364 0.1843622765224194
0.116 0.07734032824072858 0.179724988477423
0.133 0.08912039218200345 0.17445634425961912
0.150 0.10055672244182362 0.16857667136959922
0.166 0.11158611874999572 0.16210652376274595
0.183 0.12214715638352865 0.15506675240222534
0.200 0.13218128601734278 0.14747860045070235
0.216 0.14163389050919895 0.1393638156069704
0.233 0.15045523896017068 0.13074477499660647
0.250 0.15860128419528616 0.12164462089899063
0.266 0.1660342609034752 0.11208740809137228
0.283 0.17272305682124353 0.10209826539758687
0.300 0.17864334672676088 0.09170357488768356
0.316 0.1837774965581552 0.08093117191469631
0.333 0.18811426070613296 0.06981056772975677
0.350 0.19164830788932033 0.05837319383137857
0.366 0.19437961904534468 0.04665266363196918
0.383 0.19631280408191704 0.03468504271690299
0.400 0.19745638345919198 0.02250911427005602
0.416 0.1978220761954901 0.01016662156432649
0.433 0.1974241290288214 -0.002297534745813599
0.450 0.19627871320692003 -0.014835169899304609
0.466 0.19440340670329517 -0.027394785724762435
0.483 0.1918167713628481 -0.039921664924957044
0.500 0.18853802714146486 -0.05235811179888321
0.516 0.18458681957848683 -0.06464385602364614
0.533 0.1799830721074827 -0.07671662698768301
0.550 0.17474691181022262 -0.08851289451798008
0.566 0.16889865569346715 -0.09996875849746834
0.583 0.162458844389468 -0.11102095606683073
0.600 0.1554483111647406 -0.121607942405918
0.616 0.14788827603444105 -0.13167099116833564
0.633 0.1398004573426051 -0.1411552550182002
0.650 0.13120719606339062 -0.1500107264651218
0.666 0.12213159096189993 -0.15819304470030388
0.683 0.11259764527930742 -0.16566410497930384
0.700 0.10263042745706398 -0.17239244207176777
0.716 0.09225624932821397 -0.1783533766144067
0.733 0.0815028650048703 -0.18352893079318552
0.750 0.07039969230763296 -0.18790753565506582
0.766 0.05897805605406625 -0.19148356491389615
0.783 0.04727144899673488 -0.19425673837879676
0.800 0.035315801924250455 -0.19623144178223553
0.816 0.023149749748164916 -0.19741600911964902
0.833 0.010814875710272672 -0.1978220093923442
0.850 -0.0016440883564616028 -0.19746357288835778
0.866 -0.014179130955833317 -0.19635678392366632
0.883 -0.026738925870603145 -0.19451915829104457
0.900 -0.03926891938352607 -0.19196921533383407
0.916 -0.05171156287054519 -0.18872614716222402
0.933 -0.06400670778711248 -0.1848095814297056
0.950 -0.07609217108367723 -0.18023942947390353
0.966 -0.08790446755263462 -0.17503580854608575
0.983 -0.09937969232387706 -0.16921902525394675
1.000 -0.1104545229114091 -0.16280960709730663
1.016 -0.12106729741532321 -0.15582836990466617
1.033 -0.13115911537647523 -0.14829651084931605
1.050 -0.14067490190049642 -0.1402357192602359
1.066 -0.1495643751178433 -0.13166830032892532
1.083 -0.15778286225578655 -0.12261730970599863
1.100 -0.16529192018570862 -0.11310669953445318
1.116 -0.17205973110836667 -0.10316147835897416
1.133 -0.1780612612836989 -0.0928078883180266
1.150 -0.1832781883385487 -0.08207360288733626
1.166 -0.18769861869369223 -0.07098794712197871
1.183 -0.19131662941906616 -0.05958213987273276
1.200 -0.19413167732813044 -0.04788955397257187
1.216 -0.19614792200961778 -0.035945986143717676
1.233 -0.1973735090393401 -0.023789923697018208
1.250 -0.19781985555649964 -0.011462790395566785
1.266 -0.19750097373747025 0.0009908503852570397
1.283 -0.19643285953790462 0.013523160312372946
1.300 -0.19463296540125294 0.026082985355435604
1.316 -0.19211976726725433 0.03861593600811595
1.333 -0.18891242875478617 0.05106461179955041
1.350 -0.1850305592195806 0.06336898750762342
1.366 -0.18049405769399934 0.07546696964758605
1.383 -0.17532303155662596 0.08729512039305634
1.400 -0.16953777710496248 0.0987895328659815
1.416 -0.16315880889283255 0.10988682790899386
1.433 -0.15620692556639387 0.12052522956093481
1.450 -0.1487033017606506 0.13064566616829684
1.466 -0.14066959812763874 0.1401928379315668
1.483 -0.13212808444344754 0.14911619083972444
1.500 -0.12310177364223135 0.15737074185667227
1.516 -0.11361456720448902 0.1649177105524272
1.533 -0.10369141426102244 0.17172492699081732
1.550 -0.09335848779499716 0.17776700285160107
1.566 -0.08264338124700833 0.18302527042327937
1.583 -0.07157532756864107 0.1874875102400457
1.600 -0.06018544035594656 0.1911475011042733
1.616 -0.048506973261971904 0.19400443497532213
1.633 -0.036575589674538785 0.19606224333201047
1.650 -0.024429629979886493 0.19732888137234256
1.666 -0.012110359022692618 0.19781561252055957
1.683 0.00033782790367038447 0.19753632916866326
